Price,Square Meters,Rooms,Bathrooms,Zona
2.400,90,3,1,Centro
4.000,140,2,2,Centro
8.000,258,3,4,Barrio de Salamanca
2.300,118,3,2,Retiro
3.300,150,4,2,Barrio de Salamanca
5.400,210,4,5,Barrio de Salamanca
1.300,41,1,1,Tetuán
1.350,104,3,2,Ciudad Lineal
1.600,155,3,2,Moncloa - Aravaca
975,55,1,1,Chamartín
1.300,91,2,1,Retiro
895,82,2,1,Puente de Vallecas
2.600,102,1,2,Tetuán
4.200,186,2,4,Barrio de Salamanca
4.200,159,4,3,Chamartín
2.500,65,2,2,Barrio de Salamanca
1.200,55,2,1,Ciudad Lineal
1.350,52,2,1,Arganzuela
